Date,Open,High,Low,Close,AdjClose,Volume,SMA_20,Upper_Band,Lower_Band,MACD,MACD_Signal,RSI,Risk_Level
2020-03-17,306.1900024,322.8999939,290.25,319.75,319.75,10013900,360.3534988,410.5794641,310.1275335,-10.92074216,-3.203553086,40.96572129,Medium
2020-03-18,302.3999939,331.5799866,300,315.4700012,315.4700012,12593600,356.8174988,409.2920812,304.3429163,-12.2313426,-5.009110989,40.03982936,Medium
2020-03-19,324.3299866,348.5100098,316.8200073,332.0299988,332.0299988,10616000,354.1189987,405.8199145,302.4180829,-11.79775234,-6.36683926,45.20062439,Medium
2020-03-20,342.3099976,350.4899902,332,332.8299866,332.8299866,10853800,351.7569977,402.7778675,300.7361278,-11.25978086,-7.34542758,45.4449094,Medium
2020-03-23,347.8900146,366.1099854,340.8800049,360.269989,360.269989,13449400,351.3354965,401.9042939,300.7666991,-8.521030582,-7.580548181,53.15820836,Medium
2020-03-24,369.9899902,372.9299927,353.0299988,357.3200073,357.3200073,11638700,351.1969971,401.6799384,300.7140557,-6.513506472,-7.367139839,52.30207065,Medium
2020-03-25,361.019989,362,339.1700134,342.3900146,342.3900146,8767200,349.3544983,398.1909869,300.5180097,-6.057428521,-7.105197575,48.08145461,Medium
2020-03-26,344,363.8399963,341.730011,362.9899902,362.9899902,7229600,348.9184982,397.0654642,300.7715323,-3.987769071,-6.481711874,53.64035461,Medium
2020-03-27,359.0899963,368.5599976,353,357.1199951,357.1199951,7948800,348.322998,395.7112461,300.93475,-2.789058068,-5.743181113,51.93398271,Medium
2020-03-30,363,377.7999878,361.1700134,370.9599915,370.9599915,8622000,347.8184982,393.9375797,301.6994167,-0.714067597,-4.73735841,55.52625059,Medium
2020-03-31,367.9299927,383.0100098,366.4400024,375.5,375.5,9366500,348.1549988,395.0100763,301.2999212,1.281940635,-3.533498601,56.6702406,Medium
2020-04-01,376.0499878,380.230011,361.019989,364.0799866,364.0799866,6672500,347.1694977,391.6370351,302.7019602,1.920157516,-2.442767378,52.97864625,Medium
2020-04-02,364.0799866,370.9899902,360.0599976,370.0799866,370.0799866,4592500,347.0344971,391.1899573,302.8790368,2.876935328,-1.378826836,54.65013788,Medium
2020-04-03,367.4700012,370.8999939,357.5100098,361.7600098,361.7600098,4860800,346.6739975,390.1884775,303.1595175,2.930060133,-0.517049443,51.89532044,Medium
2020-04-06,365.2200012,380.2900085,361.7099915,379.9599915,379.9599915,8183900,348.3474976,394.3362464,302.3587487,4.390141523,0.464388751,57.00141911,Medium
2020-04-07,380,381.3299866,369.3399963,372.2799988,372.2799988,7046400,348.7549973,395.4712512,302.0387433,4.871400844,1.345791169,54.37839202,Medium
